timestamp,user_id,post_id,action,target
2021-10-24 10:01:43,1326,56,view,0
2021-10-26 18:45:09,1326,335,view,0
2021-10-26 19:03:00,1326,291,view,1
2021-10-26 19:04:47,1326,291,like,0
2021-10-26 19:16:25,1326,181,view,0
2021-11-07 09:55:23,1326,54,view,1
2021-11-07 09:56:41,1326,54,like,0
2021-11-09 13:41:39,1326,24,view,0
2021-11-13 16:57:22,1326,340,view,0
2021-11-23 12:30:30,1326,198,view,0
2021-11-29 07:19:36,1326,172,view,0
2021-11-29 07:21:14,1326,79,view,0
2021-11-30 16:39:43,1326,187,view,0
2021-11-30 17:26:04,1326,191,view,0
2021-12-04 14:11:32,1326,157,view,0
2021-12-11 08:16:52,1326,88,view,1
2021-12-11 08:18:38,1326,88,like,0
2021-12-22 18:39:14,1326,339,view,0
2021-12-22 19:06:22,1326,197,view,0
2021-12-27 14:32:54,1326,62,view,0
2021-12-29 09:59:54,1326,218,view,0
2021-12-29 10:20:07,1326,337,view,0
2021-12-29 10:28:41,1326,145,view,1
2021-12-29 10:30:58,1326,145,like,0
2021-10-09 06:12:39,329,229,view,0
2021-10-09 06:26:49,329,127,view,0
2021-10-09 06:30:43,329,286,view,0
2021-10-09 06:34:19,329,260,view,0
2021-10-21 07:55:48,329,229,view,0
2021-10-22 08:07:10,329,233,view,0
2021-10-23 11:12:07,329,312,view,1
2021-10-23 11:13:45,329,312,like,0
2021-10-31 12:42:57,329,10,view,0
2021-10-31 12:56:24,329,43,view,0
2021-10-31 13:22:00,329,235,view,0
2021-11-04 14:06:44,329,145,view,0
2021-11-05 14:59:00,329,261,view,0
2021-11-05 15:38:20,329,45,view,0
2021-11-05 15:39:46,329,183,view,0
2021-12-19 10:06:26,329,95,view,1
2021-12-19 10:08:07,329,95,like,0
2021-12-19 10:13:17,329,177,view,1
2021-12-19 10:13:44,329,177,like,0
2021-12-20 21:24:52,329,242,view,0
2021-12-27 16:58:30,329,139,view,0
2021-10-03 08:13:09,532,5,view,0
2021-10-10 07:50:49,532,102,view,0
2021-10-16 17:06:32,532,297,view,0
2021-10-16 17:09:02,532,169,view,0
2021-12-29 19:11:51,532,94,view,1
2021-12-29 19:14:31,532,94,like,0
2021-12-29 19:14:33,532,145,view,0
2021-10-08 10:11:46,403,26,view,1
2021-10-08 10:13:12,403,26,like,0
2021-10-08 10:25:52,403,250,view,0
2021-10-08 10:43:38,403,269,view,0
2021-10-08 10:49:35,403,327,view,0
2021-10-11 12:37:49,403,340,view,0
2021-10-12 21:37:17,403,68,view,0
2021-10-12 21:43:08,403,136,view,0
2021-10-15 07:21:46,403,283,view,0
2021-10-20 08:05:25,403,162,view,0
2021-10-20 08:10:08,403,289,view,0
